name,wgt_avg,overall_score,style_score,abv,est_cal,beer_desc,ibu,mean
Town Hall Masala Mama IPA,3.94,99,100,6%,180,"
        American style India Pale Ale (IPA) brewed using Amarillo, Cascade, Centennial and Mt. Hood hops.  A beer with crisp hop flavor and bitterness well balanced with American malt sweetness.
      ",DNE,DNE
Dangerous Man Peanut Butter Porter,3.93,99,100,5.3%,159,DNE,29,4.03/5.0
Town Hall Wee Heavy,3.92,99,100,8.5%,255,"
        Traditional Scottish ales are brewed with large amounts of base malt, generous use of roasted malt and very few hops. This deep ruby/brown ale is the king of Scottish ales. Offering huge malt flavor and little hop profile, deep caramel, toasted chocolate & and wine-like fruitiness are evident. While extremely sweet at first, the extended aging process results in a mellowing effect, thus producing a very strong complex ale that is smooth and drinkable.
      ",DNE,DNE
Fitgers Edmund Imperial Stout (Bourbon Barrel),3.9,99,91,10%,300,"
        Our Edmund Fitzgerald Imperial Stout was aged in Woodford Bourbon Barrels for 7 months. Expect this beer to be black as night with a dark brown head. Complex aromas of oak, vanilla, bourbon, and chocolate are evident. It is a very full-bodied beer. The flavors are as complex as the aromas; chocolate, bourbon, licorice. This beer won gold in 2010, silver in 2008 and bronze in 2008 at the Barrel Aged Beer Festival in Chicago.
      ",DNE,DNE
Bent Paddle Double Shot Double Black,3.89,99,89,10%,300,"
        This double strength version of our black ale has double the cold-press and double the vanilla. Aged in bourbon barrels for five months.
      ",35,4.02/5.0
Lift Bridge Silhouette Bourbon Barrel Aged Russian Imperial Stout,3.89,99,89,10%,300,"
        Barrel aged Silhouette is as deep and dark as the thick Northern Woods. It’s brewed in the style of an Imperial Stout. Aromas of coffee, molasses, chocolate and prune meld with an intense dark roasted character. This beer is complex, rich and full bodied. Its wild spirit will warm the senses, illuminate the soul, and grow into a traditional favorite...no matter what season.
      ",75,DNE
Surly Wet 2012 & 2015,3.88,99,99,7.2%,216,"
        To make Surly Wet we took 1,400 lbs of hops picked freshly in oregon and shipped to Minnesota immediately. We brewed this beer three days later. This is a hop forward beer, dry with subdued malt flavors. ",90,DNE
Town Hall Coconut Milk Stout,3.88,99,100,5.6%,168,"
        The addition of fresh coconut to our sweet milk stout makes a great combo.
      ",DNE,DNE
Schell Noble Star - Starkeller Peach,3.88,99,99,7.2%,216,"
        Eighth Release: Sixteen months in the making, Starkeller Peach was first brewed with an extensive decoction mash schedule, fermented with an authentic mixed culture and aged for nearly a year before 5,500 pounds of peaches were added and it was allowed to ferment for an additional four months.  The resulting beer has pronounced tropical fruit aromas, a tart peach flavor and an intensely acidic, fruity character.
      ",DNE,DNE
Surly Blakkr,3.88,99,99,9.99%,300,"
        Imperial black ale.
      ",85,DNE
Town Hall Twisted Trace,3.87,99,97,10.9%,327,"
        Twisted Reality Barleywine this year was very nice. Enjoy the result of extended aging in Buffalo Trace bourbon barrels. Mmmm toffee.
      ",DNE,3.96/5.0
Indeed D.I.D.D.C.W.Q.M.S,3.85,99,87,10%,300,"
        Derailed Imperial Double Dangerous Chocolate Whiskey Queen Milk Stout
      ",90,4.14/5.0
Brau Brothers Rye Wyne Ale 2011,3.83,99,96,11%,330,"
        One of the few small grains still grown in southwestern Minnesota, malted rye is the base for this one of a kind ale brewed and aged in tiny Lucan, Minnesota.  Following a long, slow fermentation, the beer is stored away in used rye whiskey barrels brought north from our friends at Templeton, located in the equally tiny town of Templeton, Iowa. 
      ",55,DNE
Town Hall Ol Jack Frost,3.85,99,87,8.9%,267,"
        Full of deep,rich chocolate flavor with a splendid sweet wine-like backbone...don't worrywe didn't forget the hops.
      ",DNE,3.94/5.0
SPB Crowd Control,3.85,99,99,8%,240,"
        A very limited release this season, Crowd Control is an American, hop-forward IPA. Abundant kettle hopping and extensive dry hopping keep the malt in check while showcasing the flavors and nose of an IPA that can barely be contained. Drink fresh and don’t resist. 
      ",60,4.07/5.0
Lazy Magnolia Timber Beast,3.63,95,76,9%,270,"
        Timber Beast is the first in Lazy Magnolia’s Back Porch Series. A spicy, full-bodied Imperial Rye Pale Ale balanced with a generous dose of Zythos hops. Retreat to the Back Porch and be a little Lazy. Big Cheers Y’all.
      ",DNE,DNE
Lazy Magnolia Southern Gentleman,3.56,92,98,7%,210,"
        Bourbon barrel treatment of Southerm Pecan
      ",DNE,3.66/5.0
SPB Cicada Series Răgana Baltic Porter,3.55,92,73,7.3%,219,"
        Baltic Porters were originally brewed for the long trip from England to the Baltic region. Răgana (Lithuanian for witch) is deep, dark and full of complex flavors. Full bodied with chocolate, coffee and a slight smokiness, English hops round out this wicked ale, adding a clean finish thanks to a colder fermentation. 
      ",30,3.76/5.0
SPB Mississippi Fire Ant: Bourbon Barrel Aged ,3.55,91,71,8%,240,"
        Imperial Red Ale aged in Willett bourbon whiskey barrels.
      ",DNE,3.76/5.0
Crooked Letter Mystery Romp,3.54,91,92,6.5%,195,"
        When the lights dim, the curtains pull back, and the Beledi starts, it is time for a Mystery Romp! This mocha colored ale, infused with chocolate and coffee, can best be described as a tasteful dance between a 
robust porter and a rich stout.
",49,3.71/5.0
Lazy Magnolia 10,3.5,88,60,10%,300,"
        An anniversary ale inspired by Southern Pecan. 
      ",DNE,3.61/5.0
SPB Cicada Series 2015 IPA,3.44,85,69,7.7%,231,"
        Simcoe, Mosaic, Amarillo. 2015 IPA is SoPro’s yearly IPA installment. The IPA this year features an up-front hop bite with tropical and pine flavors creeping throughout. Finishing dry and bright with a lingering sticky flavor, this IPA is not a candidate for first timers but reserved for the hop head who needs a revival from the mundane.
      ",70,3.62/5.0
SPB Sinister Minister,3.48,87,56,7.7%,231,"
        Looks can be deceiving. Pitch black color tells the brain one thing, while the nose and tongue yell something different. An ungodly amount of our favorite American hops fall into an abyss of dark maltiness with an unusually light roast character for its color. Sinister Minister Black IPA makes its debut in the Cicada Series and we compel you to drink now.
      ",65,3.67/5.0
Lazy Magnolia Southern Hops’pitality,3.43,82,65,6%,180,"
        Southern Hops’pitality is our offering of delicious cheer to Lazy Magnolia’s loyal fans all over the Southeast. A traditional IPA at its core, we have built Southern complexity into this new brew. The aroma is a bold citrus burst on the front end with hints of tropical fruits such as grapefruit, orange and mango in the finish. Lazy Magnolia’s brewers used a unique hop blend for an exciting dry-hoped aroma. Southern Hops’pitality has a Light Straw color and crisp, smooth finish on the palate. With an alcohol content right at the 6% ABV limit and a very hoppy 60 IBUs, Southern Hops’pitality is breaking new ground for Lazy Magnolia and the Magnolia State.

      ",60,DNE
Lazy Magnolia Ginger Jaque,3.31,81,89,5%,150,"
        Ginger Jaque, the second release in Lazy Magnolia’s Brewer’s Choice Series, invokes the likeness of one of our premier international award winning amber rye ales (AmberJaque) spiced with a bold zest of ginger. Brewed with carefully selected rye grains, traditional malts and hops, drinkers experience a heavy aroma of sweet ginger on the nose accompanied by a spiced rye finish. If you should find yourself amongst friends one chilly winters eve, this brew will undoubtedly prove a warm and inspiring companion. 
      ",21,3.5/5.0
Lazy Magnolia Black Creek Southern Style Imperial Stout,3.42,81,24,8.5%,255,"
        Wade into darker waters with Lazy Magnolia’s Black Creek Imperial Stout.  Black as the bayou on a moonless winter night, this 8.5% Southern-Style Imperial Stout begins with aromas of dark chocolate and coffee, followed by a savory blend of roasted barley and caramel flavors, with a velvety-sweet finish.  Our full-bodies Mississippi dark ale is the perfect winter companion to warm and relax your taste buds with every slow and delicious sip.  Drink Lazy.
      ",DNE,DNE
SPB Cicada Series 2014 IPA,3.32,79,53,7.5%,225,"
        Our 2014 IPA is a West Coast inspired American IPA. Aggressive American hops are showcased in the flavor and aroma of this interpretation. A full body coats the mouth with sticky fruit flavors followed by a punch of hop aroma thanks to extensive dry hopping.
      ",72,3.57/5.0
SPB Cicada Series Hipster Breakfast,3.31,,,5.8%,174,"
        Our Oatmeal Stout takes advantage of the silkiness oats provide for a beer. Layered between roasted and chocolate malts, this full-bodied, full-flavored stout is pitch black with a tan head. Earthy English hops round out the sweetness and create a dark concoction to be enjoyed day or night.
      ",40,3.69/5.0
Lazy Magnolia Gulf Porter,3.28,77,55,6%,180,"
        Gulf Porter is the first beer of the year in our Brewer\’s Choice Series. Carefully brewed with select malts, oats, and hops. We rely on the yeast to provide the spicy note and the rich character of the beer. With warm notes of toffee, coffee, and a little chocolate this porter is a beautiful beer. Sure to spark a lively discussion on the finer points of Southern living.  
      ",DNE,DNE
SPB Mississippi Fire Ant,3.37,76,41,8%,240,"
        Our first high gravity offering, this imperial red ale has a huge malt presence only to be out shined by its hop additions. Dark mahogany red with a nice fluffy head, the Fire Ant showcases roasted and toasted caramel notes layered between spicy, herbal and fruity hops.
      ",80,3.42/5.0
Chandeleur Lil Smack IPA,3.35,74,49,6.5%,195,"
        This hop forward IPA has just enough malt to offer the brew some balance while still keeping hops the primary focus.  A hefty portion of crystal malt lends a slight sweetness to the taste.  Almost entirely late hopped, we want to accentuate the delicate fruity, piney, and tropical aromas and flavors of the American and Australian hops used throughout the brew process.  We went heavy on the hops while still keeping the bitterness in check.   You’ll find our Mississippi coast Chandeleur Island charter fishing boats from Biloxi & Gulfport anchored for the weekend in Lil’ Smack Channel.
      ",69,3.44/5.0
Lazy Magnolia Jefferson Stout,3.34,72,46,4.65%,140,"
        Jefferson Stout, Lazy Magnolia’s original Sweet Potato Cream Stout, is Lazy Magnolia’s version of the ideal Southern-Style Stout. Jefferson Stout is brewed with sweet potatoes and lactose (milk sugar). The sweet potatoes provide the background to an impressive taste with added notes of roasted chocolate, coffee and caramel flavors. 

      ",22,DNE
SPB Devil’s Harvest Extra Pale Ale (-2016),3.34,72,70,5.8%,174,"
        This extra pale ale uses rich Munich malt to balance out the four hop additions. With a full mouth feel and bold aroma, Devil’s Harvest is a flavorful hop bomb.
      ",60,DNE
Chandeleur Curlew’s Toasted Coconut Porter,3.33,70,52,5.8%,174,"
        This brown porter base is loaded with tons of roasted malts giving it a plethora of flavors from coffee to chocolate to toffee.  Coconut is added to the boil and to the aging tanks putting a tropical twist on this traditional style.  Curlew is a mostly sand island secluded just far enough away from the main Chandeleur Island chain that it is almost untouched.  There have been many a coconut found on the surfside of this little piece of heaven.
      ",30,3.4/5.0
SPB Cicada Series Suzy Smash,3.31,67,95,5%,150,"
        An easy drinker that’s full of flavor, we dry-hopped our unfiltered blonde ale. This dirty blonde has a pinch of wheat and a nice honey malt backbone with a balanced bitterness, set apart by its pleasant cascade hop aroma. 

      ",DNE,3.44/5.0
SPB Jack the Sipper,3.31,68,93,5.3%,159,"
        Southern Prohibition’s ESB, Jack the Sipper, utilizes traditional ingredients for a flavorful yet balanced harmony of 100% English hops and English malts. Manageable ABV along with rich toasty and fruity flavors allows the victim to sip on multiple pints for a true UK experience down South. 
      ",45,DNE
SPB Devil’s Harvest American Pale Ale (Redux) (2016 - ),3.31,67,62,5.8%,174,"
        Devil’s Harvest is an American Pale Ale with the soul of an India Pale Ale. Late hopped entirely with Citra and Centennial, and then dry-hopped with the same one-two combo leaves a floral and fruit haze rising from the beer. Enjoy this new reincarnation, we are. 
      ",DNE,3.42/5.0
Lazy Magnolia Me and the Dev-Ale,3.28,63,29,8.5%,255,"
        A sinister brew with a seductive balance of sweetness, resinous pine and citrus aromas.
      ",DNE,DNE
SPB Lazarus,3.2,,,9%,270,DNE,DNE,3.31/5.0
Perennial Barrel Aged Abraxas,4.25,100,100,11%,330,"
        Imperial Stout aged 11 months in Rittenhouse Rye Whiskey barrels with cacao nibs, ancho chilies, vanilla beans, and cinnamon.
      ",DNE,DNE
Side Project Derivation Blend #1,4.19,100,99,15%,450,"
        Derivation is our series of Barrel-Aged Imperial Stouts in which we brew several recipes, age them in a variety of barrels and blend them before bottling to add depth and structure to this massive style of beer.",DNE,4.38/5.0
Side Project Derivation Blend #2,4.24,100,100,15%,450,"
        Derivation is our series of Barrel-Aged Imperial Stouts in which we brew several recipes, age them in a variety of barrels and blend them before bottling to add depth and structure to this massive style of beer.",DNE,4.48/5.0
Perennial Abraxas,4.06,100,97,10%,300,"
        Ale brewed with ancho chili peppers, cacao nibs, and cinnamon sticks.
      ",DNE,DNE
Side Project Derivation Blend #3,4.05,100,97,14%,420,"
        Derivation is our series of Barrel-Aged Imperial Stouts in which we brew several recipes, age them in a variety of barrels and blend them before bottling to add depth and structure to this massive style of beer.

Blend #3 is an imperial stout with a touch of rye aged in two-year Willet Rye Barrels for one year.
      ",DNE,4.19/5.0
Side Project Framboise du Fermier,4.05,100,100,8%,240,"
        Framboise du Fermier is our delicate and aromatic Saison du Fermier aged with raspberries in French Oak wine barrels. The brightness, depth and rustic character are created by the wild yeast native to our familiy’s Missouri farm. This raspberry saison was fermented in and aged in wine barrels for several months. 
      ",DNE,4.31/5.0
Perennial Blue Label Maman - Evan Williams 23 ,4.03,100,97,12%,360,"
        Maman aged in Evan Williams 23yr Blue Label barrels. 
      ",DNE,DNE
Perennial Sump,4.04,100,97,10.5%,315,"
        Imperial Stout blended with locally roasted Sump Coffee.
      ",DNE,DNE
Side Project Abricot du Fermier,4.03,100,99,8%,240,"
        Abricot du Fermier is our delicate and aromatic Saison du Fermier aged with apricots in French oak wine barrels. The brightness, depth, and rustic character are created by wild yeast native to our family’s Missouri farm. This Apricot saison was fermented in and aged in wine barrels for several months.
",DNE,DNE
Side Project Bleuet du Fermier,4.02,100,99,8%,240,"
        Saison du Fermier aged with blueberries
      ",DNE,4.25/5.0
Side Project Fuzzy,4.02,100,99,8%,240,"
        Fuzzy is an American Wild Ale that was fermented in and aged in Chardonnay barrels with a blend of wild yeast and bacteria from our family’s farm and our house souring cultures. Once mature, the beer was aged on close to four pounds per gallon of Missouri-grown White Peaches for an additional six months before an extended bottle conditioning.
      ",DNE,DNE
Side Project Thicket,4.01,100,99,6%,180,"
        Wild Missouri ale aged in oak barrels with blackberries.
      ",DNE,DNE
Mother’s MILF,3.99,100,95,11%,330,"
        You’re in for a treat with this one. Brewed with cocoa nibs and raisins and then lovingly aged in rum, sherry, bourbon, brandy and whiskey barrels, this big beer takes on flavors from the spirit and wood of each barrel. The end result is a complex and elegant companioin that’s right for carefree nights of privilege and excess.

      ",50,DNE
Perennial Barrel Aged Sump,3.99,100,95,10.5%,315,"
        Barrel-aged coffee stout from Perennial using a Columbia roasted by Scott at Sump Coffee. Region: Timbio, Columbia. Varietal: Castillo, Caturra. Altitude: 1600-1900 M. From: Various small holders. Fully washed, sun dried.
      ",DNE,DNE
Side Project One Candle,3.97,100,94,15%,450,"
        Smoked imperial stout aged in a Knob Kreek bourbon barrel for 18 months and served uncarbonated.
      ",DNE,4.19/5.0
Perennial Coffee Abraxas,3.96,100,94,10%,300,DNE,DNE,DNE
Perennial Maman,3.96,100,94,11.5%,345,"
        Imperial stout aged in Rittenhouse Rye barrels.
      ",DNE,4.18/5.0
Perennial Vanilla Abraxas,3.96,99,94,10%,300,DNE,DNE,4.15/5.0
Side Project Saison du Blé,3.96,100,99,6%,180,"
        Saison du Blé is the harmony of a fluffy wheat Saison with Brettanomyces and Lactobacillus. The wheat balances a very dry body with a creamy, billowy mouthfeel and our house Saison yeast adds complexity and acidity. This farmhouse ale was aged in Chardonnay barrels for several months.
      ",DNE,DNE
Side Project Unblended (Barrel #40),3.97,100,99,6%,180,"
        My Unblended labeling will be single barrel releases of barrels that I find are just too good to blend and offer a unique experience on their own. Barrel #40 is the first barrel in my inventory that I have found to be this way. It started life as a Chardonnay barrel that I filled with a batch of coolship beer (100% spontaneously fermented) that I brewed in the early part of 2013. This was Barrel #40 in my inventory and is now its own, single barrel release. 
      ",DNE,4.07/5.0
Perennial Barrel Aged Sump (Rwandan Kyoto),3.94,99,93,10.5%,315,"
        Stout aged in whiskey barrels with coffee added. 
      ",DNE,4.07/5.0
Side Project Saison du Fermier,3.95,99,99,7%,210,"
        Saison du Fermier is a Chardonnay barrel-fermented Saison. It is the harmony of new and old. It is robust and has the paler color of modern Saisons, yet it is balanced with the brightness, depth and rustic character of Brettanomyces and Lactobacillus found in traditional Saisons. This farmhouse ale was fermented in and aged in wine barrels for several months.
      ",DNE,DNE
Boulevard Smokestack Series: Saison-Brett,3.94,99,99,8.5%,255,"
        Saison-Brett, based on our very popular Tank 7, is assertively dry hopped, then bottle conditioned with various yeasts, including Brettanomyces, a wild strain that imparts a distinctive earthy quality. Though this farmhouse ale was given three months of bottle age prior to release, further cellaring will continue to enhance the “Brett” character, if that’s what you’re after.
      ",38,DNE
Side Project / De Garde Orviamo,3.94,99,98,10%,300,"
        Our De Garde Collab, OR & MO microflora, Oregon Raspberries & Plums, wine, whiskey & port barrels.
      ",DNE,4.16/5.0
Side Project Blanc de Blancs,3.94,99,98,10%,300,"
        Biere Brut/Wild Ale aged and natively refermented in Chardonnay barrels with Missouri Chardonel grapes.
      ",DNE,4.08/5.0
Big Sky Ivan the Terrible Imperial Stout - Bourbon Barrel,3.97,100,95,11.5%,345,"
        ",65,DNE
Big Sky Ivan The Terrible Imperial Stout ,3.75,97,71,9.5%,285,"
        ",39,DNE
Big Sky Olde Bluehair Barleywine,3.73,97,91,8.75%,262,"
        Imagine a tango: a man and a woman dancing, their eyes locked upon one another, then take your first taste of Olde Bluechair, Big Sky Brewing Company’s Barley Wine. A taste of apricots, honey flavors, a sliver of vanilla, and a hint of caramel, round out the Barley Wine. Like so many things in life, Olde Bluehair just gets better with age.",75,DNE
Carters De-Railed IPA,3.72,97,97,6.5%,195,"
        Like a trainwreck in your mouth, this beer is bursting with flavor: biscuity malts colliding with colossal amounts of American hops to create our version of the classic palate bruiser. Dry hopped with Simcoe and Palisade hops for the classic Northwest style hop nose.
      ",DNE,3.9/5.0
Big Sky Bobo’s Robust Porter,3.62,95,97,5.8%,174,"
        According to Montana legend, deep in the expanse of the Bob Marshal Wilderness there lives a small band of rugged and ferocious.... Chihuahuas.
Bobo is the packs’ Alpha Male, and in a word he is ROBUST.
So naturally we thought he deserved his own delicous Robust Porter.",32,DNE
Flathead Lake The Imperial IPA,3.58,95,73,8.6%,258,"
        The Imperial IPA is a Double India Pale Ale that is fully loaded with Cascade hops for explosive grapefruit flavors and aroma, assertive bitterness balanced perfectly with a strong malt backbone, and a slow, smooth finish. Montana grown 2-row pale, white wheat, and caramel malts. Simcoe and Cascade hops.
      ",76,3.75/5.0
Montana Brewing Beartooth Espresso Porter,3.6,94,96,5.2%,156,"
        An organic grain porter with five percent custom brewed coffee infused.
      ",30,3.83/5.0
Kettle House Olde Bongwater Hemp Porter,3.53,93,94,5.5%,165,"
        Olde Bongwater Hemp Porter was named by Kevin Head at The Rhino, a bar in Missoula. He originally wanted the beer as a house beer. It was such a hit, that others started asking for it. Now, you can find it in bars across western Montana.

Some have criticized us of glorifying marijuana or giving hemp a bad image. We intend to do neither. Taste it & you’ll agree - it is GOOD!
      ",DNE,3.61/5.0
Bitter Root Last Cast Black IPA,3.51,93,72,6.7%,201,DNE,DNE,3.69/5.0
Big Sky Cowboy Coffee Porter,3.57,92,94,6.2%,186,DNE,32,DNE
Carters Saison De Carter,3.53,92,85,6.5%,195,"
        ""The season of Carter"" - brewed to commemorate the birth of our son Carter, this Belgian Farmhouse Ale is made to quench the late summer thirst and restore the work ethic, because in Belgium, the harvest is never really over.
      ",DNE,3.64/5.0
Draught Works Scepter Head IPA,3.53,91,86,6%,180,"
        This hop monster shows no mercy. Seven insane additions of different hops create an assertive hop aroma of tropical fruits and citrus followed by fresh flavors of mango, pineapple, grapefruit and even coconut throughout each sip. Backed by a medium body and pleasantly pale-gold colored, this beer is brewed with 2-Row and caramel malts that can stand up to a beast of hops. Whether or not the Scepter Head actually exists doesn’t matter. Just don’t let her drink your beer. ",68,3.76/5.0
The Front Mountain Man Scotch Ale,3.55,91,86,6.8%,204,"
        Mountain Man is a beautiful dark mahogany colored ale with a rich complexity of malty flavors. Flavors take you into the mountains of toffee, dark chocolate, caramel and coffee. Mountain Man is brewed with local Montana honey and a touch of molasses. This ale has a very light body and finishes with just a hint of smoke. Mountain Man is more than your average scotch ale. Its uniqueness makes it a truly original strong ale.
      ",22,3.7/5.0
Bitter Root Single Hop Ale - CTZ,3.5,91,94,6.33%,190,"
        Our latest Single Hop brew using CTZ hops.  An unfiltered Pale Ale with huge grapefruit notes, a hint of caramel malts and a good bittering balance.
      ",DNE,DNE
Big Sky IPA,3.54,90,85,6.2%,186,"
        This big, rich IPA features Simcoe hops which give it both a fruity, piney hop nose and a clean, ringing bitterness. IN-between, the malt flavor is slightly caramel for a touch of malt sweetness. This IPA is well-balanced and very expressive with hops. 
      ",DNE,DNE
Big Sky Rye Pale Ale,3.52,90,93,6.7%,201,DNE,55,3.61/5.0
Big Sky Biere de Noel,3.52,90,53,10%,300,"
        2012 vintage 10.0% abv. Earlier 8.75%.
      ",35,DNE
Bozeman Bozone HopZone IPA,3.52,89,83,7.2%,216,DNE,DNE,DNE
Bozeman Bozone Plum St. Porter ,3.52,89,90,5.75%,172,"
        Plum St. Porter is named in honor of the unique Northeast neighborhood section of Bozeman, where the brewery is located. An eclectic and somewhat eccentric mixture of homes, businesses and art studios.

Plum St. Porter is a rich blend of six different malts including wheat, brown and chocolate for a velvety smooth texture. Full malt bodied with a deep dark coffee color and a subtle hop dryness to make this porter extremely enjoyable. Starting Gravity of 1.056.
      ",DNE,3.58/5.0
Big Hole Head Smashed In ,3.57,89,53,7.5%,225,"
        Brewed with six malts, two hop additions of Tettnanger and Saaz, and open fermented, producing a dark rich complex, creamy ale with port-like notes, and smooth chocolate undertones.
      ",DNE,3.68/5.0
Big Sky Shake-A-Day India Pale Ale,3.5,88,79,7.5%,225,"
        This beer is Big Sky’s interpretation of an American IPA (BJCP 21A).  It’s a hoppy, bitter, strong pale ale showcasing some of our favorite hop varieties.  The balance of this beer is definitely hop-forward with just enough malt to support the aggressive hopping rates.  We used Simcoe, Cascade and Galaxy hops throughout the process at a rate of 3lb/bbl imparting aromas of citrus, pine and tropical fruit.  The base is a combination of Pale 2-row and light Munich malt for a subtle grainy-malt flavor with a clean, dry finish.  Fermented with an American yeast strain, this beer was a true departure from our regular brand portfolio.
      ",DNE,3.62/5.0
Montana Brewing Custers Last Stout,3.5,88,87,5.5%,165,"
        Custer’s Last Stout is a Foreign-Style stout. It has an initial malt sweetness and chocolate flavor with a dry roasted bitterness finish. It is brewed with English malted barley and domestic Fuggle hops. This variety of hop adds a slight herbal (licorice) aroma and flavor to our stout.

Foreign-Style stouts originated when English breweries added more hops and alcohol to their classic dry stouts as a natural preservative. They did this so the beer would survive the long journey to their far reaching empire around the world.
	Color: Black
Starting Gravity: 15.6*Plato
Finishing Gravity: 5.0*Plato
IBUs: 45
Hop Varieties: U.S. Fuggle
      ",DNE,3.57/5.0
Yellowstone Valley Numbskull IPA,3.5,88,79,5.6%,168,"
        fka Numbskull Pale Ale.
      ",DNE,3.65/5.0
Lewis and Clark Tumbleweed IPA,3.49,87,77,6.6%,198,"
        Montana’s most award winning IPA -A GOLD MEDAL WINNER at the Great American Beer Festival (2001). Beating out 98 other IPA’s and chosen as the best IPA in the country. It was also voted Best IPA in Montana at the Montana Beer Festival and the best IPA and best overall at The Helena Cool Dog Ball and Microbrew Review. It’s amber color and incredible hoppy aroma (plenty of Cascade & Centennial hops) will keep you coming back for more.
      ",DNE,DNE
Big Sky Shake-a-Day Mai Tai IPA,3.48,87,77,DNE,DNE,"
        With pineapple and cherry 
      ",DNE,3.59/5.0
Nebraska Reserve Series Black Betty Russian Imperial Stout,3.89,99,89,11.3%,339,"
        Black as night and every bit Imperial, this RIS was originally launched to tremendous accolades. Going further, this Stranahan’s Whiskey barrel aged version meshes the rich chocolates, the coffee-like aromatics with the sweet whiskey nose and drying character of the oak. Slightly behind on the palette are the hops – held in restraint by the wonderfully full mouthfeel and broad flavors brought on by the perfect blend of so many malted barley varieties. ",67,DNE
Nebraska Reserve Series Sexy Betty,3.86,99,88,11%,330,"
        A sweet nose greets the adventurous in this marriage of our Black Betty Russian Imperial Stout and 50 year old American Brandy barrels. An elegantly pleasant surprise wakes the palate which migrates from a hint of Brandy into the wonderfully lingering roasted malt character. 
      ",50,DNE
Nebraska Reserve Series Barrel Aged HopAnomaly,3.8,98,98,10.8%,324,"
        Chardonnay Barrel aged version.  750ml bottle only.  This version of Hop God is a fascinating, big, bold Belgian-style Tripel hopped in very high amounts to concentrate citrus, grapefruit and floral aromatics in the nose. The addition of Chardonnay barrel aging adds further dimension and oak tannins to an already wonderfully complex Ale - bringing to mind tropical fruits and peach.
",87,DNE
Upstream Grand Cru,3.74,98,96,9.4%,282,"
        A terrific balance of citrus, earth, honey & oak. The Brewmaster's favorite.
      ",DNE,DNE
Nebraska Reserve Series Melange A Trois ,3.78,98,98,11.3%,339,"
        Melange a Trois begins with a wonderfully big Strong Belgian-Style Blonde Ale and moves into the extraordinary category through an additional 6 month French Oak Chardonnay Wine Barrel maturation. The essence of Chardonnay permeates while a subtle sweetness remains from the Ale itself. Oak tannins combine to create a fascinating mesh of dry, sweet, and wine-like character.  One of our favorites!
",31,DNE
Nebraska Apricot Au Poivre Saison,3.77,98,97,7.5%,225,"
        ""A Saison (Say-Sahn) is a Belgian Farmhouse Summer Beer. Farmhouse referring to the simple fact that very small ""farmhouse"" breweries typically made these beers. Lighter in alcohol, ours is 6.5% (not exactly light but that’s just us!) and golden to orange in color. Unfiltered. Ours is spiced with both Apricot puree and Black Pepper. The taste is light, refreshing and nicely fruited to start. Medium mouthfeel. After taking a drink, the black pepper dries the palate and creates a nice tingling sensation on the tongue.""  Non-Barrel Aged, Draft Only version.",27,DNE
Nebraska Reserve Series Barrel Aged Fathead  ,3.7,96,88,12.1%,363,"
        A rich, full bodied Barley Wine with a wonderfully warming character from the malts & dark brown sugars. Held to the light, its burgundy color is fitting for a bigger beer that has aromatics that hint of the oak, the whiskey, the somewhat sweet nature, and molasses that makes this beer truly unique.  Using Stranahan’s Whiskey barrels, we aged this beer for 6 months to impart a small amount of oak tannins and the whiskey character that combine to elevate this beer beyond its original entry into this world. ",33,DNE
Nebraska New Oak-aged Rye IPA,3.57,95,91,7.5%,225,"
        2010 Festival of Wood & Barrel Aged Beer – Bronze Medal Strong / Double / Imperial Pale Beer Category
      ",DNE,3.78/5.0
Nebraska Little Betty Russian Imperial Stout,3.62,94,47,9%,270,"
        Our Russian Imperial Stout. Draft only, non-barrel aged version of our Black Betty. ",83,3.72/5.0
Nebraska Inception Series Runnin’ with the Devil,3.61,94,77,11.9%,357,"
        A variant of our Fathead Barley Wine. We’ve taken a massive beer which already had deep brown sugar notes and chosen to age it further in Venezuelan Rum barrels for a beautiful finish and deep maturation. You’ll find it best to share with a friend. And be seated.
      ",33,3.76/5.0
Nebraska HopAnomaly,3.6,93,96,9.3%,279,"
        A beautiful golden crossbreed of a Belgian Tripel and a West Coast IPA. Combining the best attributes of each style in a remarkable way, this beer explodes with spiciness, tropical fruit, and an intense citrus bitterness that will leave you begging for more! Hopped with Warrior, Chinook, Centential, and Cascade hops.  
",87,DNE
Thunderhead Espresso Stout,3.57,93,93,DNE,DNE,DNE,DNE,3.72/5.0
Lucky Bucket Whiskey Barrel Aged Certified Evil,3.59,93,44,9.4%,282,DNE,DNE,3.78/5.0
Jaipur Jalapeño Ale,3.51,93,97,DNE,DNE,"
        A splendidly peppered beer made from fresh jalepeno peppers. Created for those with a spicy palate.
      ",DNE,3.75/5.0
Nebraska India Pale Ale (2011-  ),3.59,93,90,6.9%,207,"
        Our West Coast inspired India Pale Ale is rich in flavor and abundant in citrus, pine, and floral aromatics created through a wonderful infusion of Citra hops.  Completely refreshing and possessing a medium mouthfeel, crisp bitterness, and nearly balanced malts.  Finishes dry with a head that creates beautiful lacing down the entire glass.  A truly inspired and coveted IPA. ",72,DNE
