review_count,style_score,brewer,wgt_avg,beer_img,state,beer_rank,overall_score,beer_style,beer_name,abv,est_cal,mean,ibu,beer_desc
27,97,Fremont Brewing Company,4.06,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_268621.jpg",WASHINGTON,3,100,Imperial Stout,Fremont Rusty Nail,,,4.21/5.0,396,"An imperial oatmeal stout with pale barely, smoked barley, brewer’s licorice, cinnamon bark, aged in Heaven Hills barrels for close to a year. The barrel aged version of the Pinebox 1st anniversary The 1st Nail."
48,100,Fremont Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_270858.jpg",WASHINGTON,2,100,Barley Wine,Fremont Brew 1000,,,/,300,"Made in celebration of Fremont’s 1,000th brew.  Made with Maris Otter malt, white wheat, Magnum and Golding hops.  Aged for 2 months in 2bar whiskey barrels."
128,100,Fremont Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_304112.jpg",WASHINGTON,1,100,American Strong Ale,Fremont Abominable - Bourbon Barrel Coffee Cinnamon,14%,420,/,,"Lovingly referred to by Fremonters as the B-BOMB, this bourbon barrel-aged edition of our winter ale has a warming spicy aroma and rich carmelly notes of bourbon, wood and vanilla added to dark roasty chocolatey malt flavors and subtle hopping."
35,76,Lickinghole Creek Craft Brewery,3.77,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_315487.jpg",VIRGINIA,24,98,Imperial Stout,Lickinghole Creek Heir Apparent,,,3.86/5.0,345,"Heir Apparent is an imperial stout with a complex caramel soul tempered by a chocolate and roasty undertone.  Sweeter in style than Russian Imperial stouts at only 60 IBUs but balanced by the heat of fresh Mexican peppers, vanilla and cacao nibs.  The Heir Apparent is ambitiously biding his time until he comes to power.  His time will come."
15,95,Mad Fox Brewing Company,3.77,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_157452.jpg",VIRGINIA,23,98,American Strong Ale,Mad Fox Batch 100 Strong Black Ale,,100,3.99/5.0,,"This epic beer is a numerologist’s dream - 100 specific gravity points, 100 IBUs, 100% Centennial hops and 10.0% ABV. Imagine the prodigal son of Black IPA and Russian Imperial Stout, aged in Evan Williams Single Barrel Vintage 1999 Bourbon barrels. Our brewers combine the big hop flavor and aroma and sharp roast malt of a Black IPA with the smooth plum pudding malt and spirit warming of a Russian Imperial Stout. The Bourbon barrels add layers of vanilla, toffee, caramel and oak that increases the complexity to the point of absurdity. Our Batch 100 beer defies categorization, but it is an epic journey in your mouth."
11,93,Lickinghole Creek Craft Brewery,3.78,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_396743.jpg",VIRGINIA,22,98,Abt/Quadrupel,Lickinghole Creek Coconut Quadrupel Ale,,27,4.07/5.0,,"Coconut Belgian-style Quad. Coconut Quad combines the flavor of fresh coconut with the mysterious sweetness of a Belgian Quad. We used our house Belgian yeast strain, which adds to the complexity of the quad, and Belgian Candi Syrup called D-180. D-180 is a very dark, award winning premium Candi Syrup, which contributes to the depth and lightens the body of the most authentic Belgian-Style Quads. Tasting notes of raisin, plum, prune & coconut. More Coconut!"
11,78,Lickinghole Creek Craft Brewery,3.78,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_409835.jpg",VIRGINIA,21,98,Imperial Stout,Lickinghole Creek Great Commander,,60,4.07/5.0,,"The Great Commander is a Rum Barrel Imperial Stout spiced with cocoa, vanilla, cinnamon, cayenne, New Mexican Ancho Chile and serrano peppers. Flavors of chocolate, rum and vanilla meld together seamlessly with the perfect amount of spice and heat. The Great Commander is the spark setting fire to the hearts of the masses!"
18,99,The Veil Brewing Company,3.78,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_428324.jpg",VIRGINIA,20,98,India Pale Ale (IPA),The Veil Master Master Shredder Shredder,,,3.96/5.0,165,"This is the double dry-hopped version if our beloved flagship IPA Master Shredder. This one came out insane. Our favorite MS variant yet! Incredible aroma. Dank, fresh orange peel, grapefruit, slight onion(in a good way). We had a very low yield due to some technical difficulties and an insane amount of dry-hopping."
135,92,Legend Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_43199.jpg",VIRGINIA,19,98,Imperial IPA,Legend Imperial IPA,,126,/,,"A big, crisp Ale that is hopped to the extreme. A Combination of Pale Ale, Bonlander Munich and Carapils Malts to which a very, very, generous amount of hops has been added gives a balanced 126 IBU beer."
26,94,The Veil Brewing Company,3.79,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_412291.jpg",VIRGINIA,18,98,Imperial IPA,The Veil Crucial Taunt Double IPA,,,3.92/5.0,240,
27,83,Devils Backbone Brewing Company (AB InBev),3.82,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_389221.jpg",VIRGINIA,17,98,Imperial Stout,Devils Backbone / Wicked Weed Seven Summits,10.5%,315,3.94/5.0,20,"Seven Summits (10.5% ABV; 20 IBU) an Imperial Stout brewed with ingredients inspired by the world’s famed Seven Summits.  This complex brew includes Coconut (South America’s Aconcagua summit), Cocoa (Africa’s Kilimanjaro summit), Blue-green Algae (Antartica’s Vinson summit), American Oak (North America’s Denali summit), Pink Himalayan Sea Salt (Asia’s Everest summit), Black Rye Bread (Europe’s Elbrus summit) and Wattle seeds (Australia’s Mt. Kosciuszko summit.)"
29,85,Hardywood Park Craft Brewery,3.83,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_339130.jpg",VIRGINIA,16,99,Imperial Stout,Hardywood Bourbon Barrel Raspberry Stout With Vanilla Beans,11.5%,345,3.95/5.0,,"Bourbon Barrel Aged Chocolate Raspberry Stout Finished on Madagascar Vanilla Beans. A dessert beer to the core, our Raspberry Stout is truly a feat in decadence. Loads of chocolate malt, cocoa nibs and local, late season red raspberries from Agriberry Farm all contribute to what would best be described as a raspberry truffle in liquid form. We then take this beer on another journey through months of maturation in freshly emptied bourbon barrels and finish it on Madagascar Vanilla Beans. The resulting flavor is a smooth, rich dark chocolate, ripe red raspberry and delicate notes of vanilla and bourbon."
243,85,Hardywood Park Craft Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_159917.jpg",VIRGINIA,15,99,Imperial Stout,Hardywood Gingerbread Stout,,,/,270,"Brewed with baby ginger from Casselmonte Farm and wildflower honey from Bearer Farms, Hardywood Gingerbread Stout captures the terroir of central Virginia in a rich, creamy libation with a velvety mouthfeel and an intriguing evolution of flavors from milk chocolate and vanilla to honeycomb and cinnamon to a snap of ginger in the finish. Deep, dark chocolate in color with a mahogany tint and a frothy, caramel colored head, Hardywood Gingerbread Stout offers aromatics of holiday spice originating from the ginger, and balanced with a generous dose of whole Madagascar bourbon vanilla beans and Vietnamese cinnamon. Milk sugar (lactose) contributes to the full body of this stout and tames its roasty character, while oats lend a silky quality. Enjoy fresh, or cellar for a special occasion. We hope Hardywood Gingerbread Stout contributes to your merriment this season."
128,100,Hardywood Park Craft Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_194165.jpg",VIRGINIA,14,99,Spice/Herb/Vegetable,Hardywood Bourbon GBS (Gingerbread Stout),,55,/,,Gingerbread Stout Aged in Virginia Bourbon Barrels
21,86,Hardywood Park Craft Brewery,3.84,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_382960.jpg",VIRGINIA,13,99,Imperial Stout,Hardywood Apple Brandy Barrel GBS (Gingerbread Stout),,55,4/5.0,,"Our Gingerbread Stout blends in perfect harmony with the cinnamon kissed oak staves of the apple brandy barrels in which it was matured. This barrel aged imperial milk stout crescendos with notes of honey, chocolate and fragrant cinnamon."
28,82,Sweetwater Tavern (Great American Restaurants),3.79,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_35998.jpg",VIRGINIA,12,99,Imperial Stout,Sweetwater Tavern Barrel Aged High Desert Imperial Stout,10.8%,324,4.02/5.0,,This beer is aged in a J.W. Lees Harvest Ale (Lagavulin) cask.
250,93,AleWerks Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_107394.jpg",VIRGINIA,11,99,Imperial Porter,AleWerks Brewmasters Reserve Bourbon Barrel Porter,9%,270,/,,"Limited to 2009 bottles. A porter, to which rapadou (Carribean unrefined cane sugar from Haiti) was added (but not caramelized rapadou as in the Rapadou Porter) and aged for two months in Virginia Gentleman bourbon barrels. It is a complex porter, to which the flavors of vanilla and a little bourbon have been added as a result of the aging process."
32,87,Lickinghole Creek Craft Brewery,3.85,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_327173.jpg",VIRGINIA,10,99,Imperial Stout,Lickinghole Creek Supreme Leader,13.5%,405,3.96/5.0,60,"(Bourbon Barrel Version of Heir Apparent)
13.5% ABV, 60 IBU
Bourbon Barrel Imperial Stout spiced with cocoa, vanilla, cinnamon, cayenne, New Mexican Ancho Chile and serrano peppers.  The Supreme Leader Serves the People!"
41,89,Hardywood Park Craft Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_296725.jpg",VIRGINIA,9,99,Imperial Stout,Hardywood Trickery,13.5%,405,/,65,"Imperial milk stout aged in apple brandy barrels for 5 months for a smooth apple brandy finish. Warm caramel, blackstrap molasses, and chocolate covered cherries."
25,89,Three Notch’d Brewing Company,3.88,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_311452.jpg",VIRGINIA,8,99,Imperial Stout,Three Notch’d Biggie S’mores Imperial Stout ,8%,240,4.03/5.0,40,"This rich, creamy imperial stout is made with 80 boxes of Honey Maid Graham Crackers. The special roasted barley used gives the beer a rich, chocolate-y backing and the lactose gives the beer a sweet, smooth finish."
33,98,AleWerks Brewing Company,3.89,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_354374.jpg",VIRGINIA,7,99,Imperial IPA,AleWerks Secret Admirer,,,4/5.0,240,
101,92,Sweetwater Tavern (Great American Restaurants),,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_17562.jpg",VIRGINIA,6,99,Imperial Stout,Sweetwater Tavern High Desert Imperial Stout,,,/,324,"an exceptionally rich, powerful stout in the style originally brewed in England for the Tsars of Russia...warming and complex with flavors of dried fruit & chocolate...a silver medal winner at the Great American Beer Festival in Denver, CO in September ‘01"
33,93,Hardywood Park Craft Brewery,3.92,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_303723.jpg",VIRGINIA,5,99,Imperial Stout,Hardywood Christmas Morning,,55,4.04/5.0,,A blend of Brazilian and Sumatran coffee beans from Richmond’s Blackhand Coffee Co take this variation of our Gingerbread Stout to a whole new level of decadence. Christmas Morning offers layers of gingerbread flavor complimented by the smooth nuances of freshly brewed coffee. We hope you make this part of your holiday tradition in the years to come.
34,92,Hardywood Park Craft Brewery,3.92,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_382961.jpg",VIRGINIA,4,99,Imperial Stout,Hardywood Kentucky Christmas Morning,,55,4.03/5.0,,"Hardywood Kentucky Christmas Morning is liquid proof that good things come to those who wait. Our original Gingerbread Stout takes an initial transformation through months of aging in Kentucky bourbon barrels, reaching new levels of maturity with layers of vanilla, coconut, and toasted oak. Before bottling, the barrel aged stout is cold filtered through heaps of freshly cracked locally roasted coffee beans, showcasing the nostalgic joys of Christmas Morning."
247,93,AleWerks Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_126904.jpg",VIRGINIA,3,99,Imperial Stout,AleWerks Cafe Royale,8%,240,/,,"""This is our Coffeehouse Stout amped up to 8% abv and aged for a couple of months in Virginia Gentleman Reserve Bourbon Barrels. Another unique AleWerks beer which blends the rich, coffee-milk stout flavors with those of vanilla and bourbon."""
35,94,Hardywood Park Craft Brewery,3.96,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_325138.jpg",VIRGINIA,2,100,Imperial Stout,Hardywood Foolery,14%,420,4.07/5.0,,"Hardywood Foolery is a huge Imperial Stout aged for eight months in bourbon barrels. Massive chocolate, vanilla, and caramel flavors are preceded by aromatic hints of dark cherry, tobacco, leather and oak. Thick and rich, Foolery brings rounded bourbon character contributions from the barrels and a nice warming finish."
171,99,AleWerks Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_166162.jpg",VIRGINIA,1,100,Imperial IPA,AleWerks Bitter Valentine,,,/,249,"Our Double IPA is loaded with Pacific Northwest hops blended with a light malt backbone. A bitter Valentine for you to love, how ever unrequited."
165,100,Hill Farmstead Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_172436.jpg",VERMONT,24,100,American Pale Ale,Hill Farmstead What Is Enlightenment?,,,/,162,American Pale Ale brewed in honor of our Second Anniversary.  Hopped with Simcoe and Amarillo.
161,100,Hill Farmstead Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_178868.jpg",VERMONT,23,100,Imperial IPA,Hill Farmstead Society & Solitude #4,,,/,249,Double Citra meets Double Galaxy
120,100,Hill Farmstead Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_169533.jpg",VERMONT,22,100,Imperial IPA,Hill Farmstead Society & Solitude #3,,,/,240,Society and Solitude #3: The series of experimental Double IPAs continues.  This one is hopped with ample amounts of Columbus and is reminiscent of… an Imperial Harlan.
93,100,Hill Farmstead Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_332319.jpg",VERMONT,21,100,Saison,Hill Farmstead Flora - Plum,,,/,,
187,100,Hill Farmstead Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_123581.jpg",VERMONT,20,100,American Pale Ale,Hill Farmstead Citra Single Hop Pale Ale,,,/,165,"A pale ale bittered, flavored, and dry hopped exclusively with Citra."
153,100,Hill Farmstead Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_214350.jpg",VERMONT,19,100,India Pale Ale (IPA),Grassroots Legitimacy,,,/,201,"India Pale Ale brewed with 2-row malted barley, oats, and citrusy hops from the Pacific Northwest. Dry hopped copiously with Simcoe. Its sessionable drinkability belies its true IPA nature."
322,100,Hill Farmstead Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_191994.jpg",VERMONT,18,100,India Pale Ale (IPA),Hill Farmstead Susan,,,/,186,American IPA brewed with our favorite hops.
103,100,Hill Farmstead Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_165148.jpg",VERMONT,17,100,Black IPA,Hill Farmstead Society & Solitude #2,,,/,285,"The second in our series of experimental Imperial IPAs – Release #2 is essentially an Imperial version of James, our Black IPA.  Brewed with buckets full (literally) of Simcoe and Columbus hops, in the kettle and, as dry hops, in the fermenter.  This Imperial Black IPA is a mere 9.5% abv and heavily, heavily hopped…"
24,100,Hill Farmstead Brewery,4.07,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_432044.jpg",VERMONT,16,100,Saison,Hill Farmstead Dorothy - Wine Barrel Aged,7%,210,4.25/5.0,,Farmstead ale dry-hopped and aged in wine barrels.
399,100,Lawson’s Finest Liquids,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_258973.jpg",VERMONT,15,100,Imperial IPA,Lawson’s Finest Sip of Sunshine IPA,,,/,240,"This lupulin-laden India Pale Ale is packed with juicy tropical fruit character, bright floral aromas and delectable layers of hop flavor."
218,100,Lawson’s Finest Liquids,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_134550.jpg",VERMONT,14,100,Imperial IPA,Lawson’s Finest Double Sunshine IPA,,,/,240,"This American Double India Pale Ale is packed with juicy tropical fruit flavors and bright herbal aroma, thanks to the abundance of US-grown hops."
305,100,The Alchemist,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_100846.jpg",VERMONT,13,100,India Pale Ale (IPA),Alchemist Focal Banger,,,/,210,"Crisp, clean malt character supporting copious additions of Citra and Mosaic hops."
102,100,Hill Farmstead Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_203117.jpg",VERMONT,12,100,Imperial IPA,Hill Farmstead Society & Solitude #6,,,/,240,Imperial Pale Ale featuring the Mosaic hop variety.
116,98,Hill Farmstead Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_222313.jpg",VERMONT,11,100,Imperial Stout,Hill Farmstead Genealogy of Morals - Bourbon,,,/,300,An Imperial Stout brewed with Wheat and Coffee and aged in Bourbon barrels from our favorite distilleries...
508,100,Hill Farmstead Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_126305.jpg",VERMONT,10,100,Porter,Hill Farmstead Everett,,,/,216,"Everett (1908-1939) was our grandfather’s brother; Hill Farmstead Brewery rests upon the land that was once home to him and his 13 siblings.  In his honor, this Porter is crafted from American malted barley, English and German roasted malts, American hops, our ale yeast, and water from our well.  It is unfiltered and naturally carbonated.  Decadent in its depth, with a complex backbone of chocolate, coffee, and malty sweetness, this is the ale that I dream to have shared with Everett.

7.5% ALC/VOL
21º P
Ingredients: Pale, Caramel, and Chocolate Malt, Roasted Barley, Columbus hops; Ale Yeast, and our Well Water."
197,100,Hill Farmstead Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_141983.jpg",VERMONT,9,100,Imperial IPA,Hill Farmstead Double Galaxy,,,/,240,Imperial Single Hop IPA hopped exclusively with Galaxy.
259,100,Hill Farmstead Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_145903.jpg",VERMONT,8,100,Imperial IPA,Hill Farmstead Double Citra,,,/,240,
247,100,Hill Farmstead Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_186050.jpg",VERMONT,7,100,Imperial IPA,Hill Farmstead Society & Solitude #5,,,/,234,"Our experimental Double IPA series continues.

Imperial IPA. American and New Zealand hops.  Think Grapefruit.  7.8% abv"
146,100,Hill Farmstead Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_192014.jpg",VERMONT,6,100,Sour/Wild Ale,Hill Farmstead Juicy,7.4%,222,/,,"Juicy is inspired by our love for New Zealand - the adventures had therein, and the journeys grown from without. Our love for the landscape, the agriculture, and the spirited reflection of its inhabitants Long ago led to the vision of what lies before you. After many months of conditioning with our resident microflora in barrels that formerly held our Mimosa, the beer that we have referred to as Juicy is now ready to be enjoyed. 

Ingredients: American and European malts, American and New Zealand hops, Yeast, Brettanomyces, and our well water."
194,100,Hill Farmstead Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_130973.jpg",VERMONT,5,100,Imperial IPA,Hill Farmstead Ephraim,,280,/,,"Ephraim (1823-1913) was our great-great grandfather; Hill Farmstead Brewery resides several hundred feet downhill from the land that he and his father settled.  In his honor, this Imperial India Pale Ale is dutifully crafted from American malted barley, buckets of American hops, our ale yeast and water from our well.  It is unfiltered, naturally carbonated, and double dry hopped.  Intensely aromatic and saturated with resinous hop flavor, this is the ale that I dream to have shared with Ephraim. 
 
10.3%, 21ºP, 280 Theoretical ibus.  Ingredients: Pale Malt; Dextrose; Centennial, Chinook, Columbus, Simcoe, and Warrior hops, Ale Yeast, and our Well Water."
179,99,Hill Farmstead Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_142050.jpg",VERMONT,4,100,Imperial Stout,Hill Farmstead Damon,,,/,315,"Damon (1993-2004) The time spent with loved ones, now lost, seems to affect our mind and body perpetually:  memories happen upon us, unsuspectingly, and bring about tears of fond remembrance.   Damon was our brother – devout and patient in an age of busyness and distraction.  In his honor, we crafted and conditioned this Imperial Stout in bourbon barrels from our favorite distillery.  We still reflect, daily, upon our Damon and his scruffy chin of grey – of his loyalty and his love.   

27º Plato"
369,100,Hill Farmstead Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_122097.jpg",VERMONT,3,100,Imperial IPA,Hill Farmstead Abner,8.2%,246,/,,"Abner (1867-1953) is our great grandfather; Hill Farmstead Brewery rests upon the land that was once home to him and his fourteen children.  In his honor, this Double IPA is dutifully crafted from American malted barley, a plethora of American hops, our ale yeast and water from Abner’s well.  It is unfiltered, naturally carbonated, and double dry hopped.  Aromatic and flowery, bursting with notes of citrus and pine, this is the ale that I dream to have shared with Abner."
1522,100,The Alchemist,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_32329.jpg",VERMONT,2,100,Imperial IPA,Alchemist Heady Topper,8%,240,/,120,"An American Double IPA, packed with over 120 IBU!"
119,100,Hill Farmstead Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_175070.jpg",VERMONT,1,100,Saison,Hill Farmstead Ann,6.5%,195,/,,"Ann is the wine barrel aged version of Anna (1902-?), our grandfather’s sister as well as the name of our Honey Saison. In her honor, we fill French Oak wine barrels with honey saison and allow the beer to mature in the presence of our resident microflora. After many months, a beautifully complex beer emerges--Anna becomes Ann. Naturally carbonated and dipped in beeswax, Ann displays the microflora of her landscape. This the ale that I dreamed to have shared with Anna."
41,99,Epic Brewing Company (UT/CO),,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_172602.jpg",UTAH,24,96,Belgian Ale,Epic / DC Brau Brainless: Corruption,6.2%,186,/,,"Brainless® Belgian just got corrupted with hops! Brainless®: Corruption is our second collaboration beer with DC Brau (the first was Fermentation w/o Representation). DC Brau and Epic, both honored with invitations to SAVOR(SM), will be serving this beer in Washington DC as a celebratory beverage during the craft beer and food event in June. We brewed our award winning Brainless® Belgian Golden Ale and let DC Brau corrupt it with four types of hops, including the fruity Citra in the dry hop. Brainless®: Corruption starts out with a wonderful aroma of pineapple, hops and tart fruit. On first sip you taste that familiar cotton-candy and bubble gum sweetness of Brainless® that quickly gives way to a hoppy storm of tropical fruit and tart citrus that lingers on the tongue.
Note: the only way to identify this beer is near the ABV marking where is says Corruption."
293,95,Epic Brewing Company (UT/CO),,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_124508.jpg",UTAH,23,96,Belgian Strong Ale,Epic Smoked & Oaked Belgian-Style Ale,,,/,285,"This is a Belgian-style strong ale but with an American fusion twist dreamt up by Epic. Using authentic Belgian-style yeast, this is a malt-driven beer with Maris Otter malt as a base and a hint of Pilsner malt. For the first twist we use smoked cherry wood malt that works it’s magic, bringing a smoky sweetness to the caramel malts and a bit of peat flavor as well. This ale then really marries together when it hits the cask. The entire batch aging in the whiskey barrels nicely dries out the perceived sweetness of the caramel malt leaving an almost scotch like taste, with smoke, bourbon, hints of vanilla, wood, aged fruit from the Belgian yeast and some peat. A very, very special extremely flavorful strong ale made for sharing."
206,89,Epic Brewing Company (UT/CO),,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_123807.jpg",UTAH,22,96,American Strong Ale,Epic Imperial Red Ale,7.7%,231,/,40,"This beer is very popular!  Extremely complex and strong at 7.1% ABV.  This beer is well balanced between the caramel-malt driven profile and the dry, supporting hops.  Look for hints of dark bread and a slight fig or raisin taste all backed by a strong resin, but not overwhelming hop presence."
25,91,Hoppers Grill & Brewery,3.61,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_147600.jpg",UTAH,21,96,Saison,Hoppers Summerset Saison,7.4%,222,3.82/5.0,,"Our Summerset Saison Ale is made with traditional Saison grains of barley malt, spelt, and raw oats.  We added Citra hops to both the kettle and during fermentation-along with complex rustic farmhouse yeast-giving a summer punch bowl of refreshing hoppiness. Enjoy this modern take of a classic artisan ale."
166,96,Epic Brewing Company (UT/CO),,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_197998.jpg",UTAH,20,96,India Pale Ale (IPA),Epic Brainless IPA,,,/,195,Our Brainless® IPA pays tribute to the collaborative efforts of innovative brewers. The fruity Belgian yeast and powerful American hops relentlessly tease your pallet.
320,99,Uinta Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_146213.jpg",UTAH,19,97,Spice/Herb/Vegetable,Uinta Crooked Line Oak Jacked Imperial Pumpkin,10.31%,309,/,,"Jacked is brewed with fresh pumpkin and fall spices and has been aging in Oak barrels for 6 months. The oak barrels add subtle nuances of toasted vanilla and bourbon notes. With an ABV of 10.31% (a play on the date of Halloween), Jacked is a big, unique pumpkin ale."
529,88,Epic Brewing Company (UT/CO),,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_122442.jpg",UTAH,18,97,Imperial IPA,Epic Hopulent IPA,,,/,264,"Hopulent IPA is a big beer with lots of complex malt flavor and excessive hops. This beer will have changes to the grain bill and seasonal hop changes. The character of Hopulent IPA is over the top, too much of everything—a real HOP HEADS DELIGHT!"
18,96,Red Rock Brewing,3.7,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_115390.jpg",UTAH,17,97,Belgian Strong Ale,Red Rock Paardebloem ,8.8%,264,3.87/5.0,,"This strong Belgian style ale is made with hand-toasted Pilsner malt, grains of paradise, and fresh picked dandelion greens. Although dandelions are considered a nuisance weed around the world, dandelion greens are a natural toxin-remover, and show up throughout modern history in various tonics and folk remedies. Paardebloem (Flemish for dandelion) has a hazy, deep golden color, a soft-toasted malt character and is 100% bottle conditioned. The grain bill was designed to produce a malty, light bodied beer, emphasizing the flavors of the spices and esters of the Belgian yeast strain.
Paardebloem (Flemish for dandelion) was created in conjunction with Chris McCombs and New Belgium Brewing Company. 9.2% alcohol by volume."
272,87,Epic Brewing Company (UT/CO),,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_164453.jpg",UTAH,16,97,Sour/Wild Ale,Epic / Crooked Stave Elder Brett Saison-Brett Golden Ale,8.8%,264,/,,"Epic Brewing Company’s latest barrel-aged beer brings something new—wild yeast. This brew is a collaboration ale with Crooked Stave Artisan Brewing of Fort Collins, Colorado.  Chad Yakobson, Brewmaster/Owner of Crooked Stave, is well known for his skill and knowledge in the brewing of sour and Brettanomyces driven beers.  The beer was brewed at Epic by the two brewers. Kevin Crompton, Epic’s Brewmaster, and Chad spent several weeks working on the recipe and selecting the proper Brett strains and barrels for the beer to morph from a golden Saison into a Saison-Brett Golden Ale."
258,91,Epic Brewing Company (UT/CO),,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_136431.jpg",UTAH,15,97,Imperial IPA,Epic Imperial IPA,,,/,282,"This tawny-orange ale immediately assults the senses with the character of hops from the Pacific Northwest. An aroma that combines grapefruit pith and pine resin foreshadows a strongly bitter beer. The flavor is spicy and juicy with citrus dominating over honey and floral notes, then giving way to a dry, chalky bitterness.  The almost sweet finish is accentuated by the strength of the alcohol."
178,69,Epic Brewing Company (UT/CO),,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_134507.jpg",UTAH,14,97,Imperial Stout,Epic Imperial Stout,10.3%,309,/,,"This massive Stout pours a mahogany black with a thick, brown head. The aroma is all chocolate and toasted malt. The first wave of flavor embraces anise and dark, bitter chocolate but opens up to include coffee, smoke and rich sweet malt."
